127.0.0.1 - - [19/May/2019:09:59:39 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:40 +0900] "GET /IT-show/firstPage.jsp HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:40 +0900] "GET /IT-show/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:40 +0900] "GET /IT-show/firstPageStyle.css HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:40 +0900] "GET /IT-show/img/searchIcon.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:41 +0900] "GET /IT-show/img/gongcha.jpg HTTP/1.1" 200 72219
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:41 +0900] "GET /IT-show/img/imoticon.png HTTP/1.1" 200 76086
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:41 +0900] "GET /IT-show/img/chinanoodle.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:52 +0900] "GET /IT-show/firstPage.jsp HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:52 +0900] "GET /IT-show/img/searchIcon.png HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:52 +0900] "GET /IT-show/firstPageStyle.css HTTP/1.1" 200 8326
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:52 +0900] "GET /IT-show/img/chinanoodle.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:52 +0900] "GET /IT-show/img/gongcha.jpg HTTP/1.1" 200 72219
0:0:0:0:0:0:0:1 - - [19/May/2019:09:59:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
