0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:48 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:48 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:48 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:48 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:48 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:48 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:49 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:52 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:08 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
